start_node,greedy,regret
0,12754,16148
1,12153,16148
2,13171,16148
3,12149,16061
4,12512,16317
5,12215,16700
6,12482,16680
7,11965,17309
8,12482,16687
9,13114,16390
10,13266,16208
11,12482,16134
12,11935,15896
13,13171,16376
14,13266,15638
15,12456,15689
16,13266,15635
17,13076,16674
18,11968,16303
19,12482,16342
20,13093,17185
21,12456,16179
22,13266,16200
23,13076,16386
24,12467,16707
25,12149,16390
26,12482,16780
27,12175,16345
28,13171,15608
29,12809,16793
30,12116,17122
31,13266,15042
32,11935,16016
33,12539,16183
34,12482,15903
35,13055,15766
36,12512,16183
37,13055,15283
38,12809,16079
39,12153,15799
40,13185,16385
41,12116,15553
42,13171,16405
43,12153,15415
44,13266,15616
45,13171,15509
46,12424,16023
47,13185,15903
48,12215,16482
49,12153,16111
50,12467,15923
51,12512,16823
52,12456,17020
53,12153,15903
54,12539,16318
55,11968,15969
56,12482,15834
57,12175,16292
58,13114,15802
59,11107,16405
60,12467,15942
61,11095,16385
62,12215,16061
63,12153,15729
64,12149,15501
65,12149,16243
66,12175,16045
67,12153,16560
68,12153,17145
69,12456,15565
70,13185,16339
71,13093,15594
72,12153,16435
73,13114,16021
74,11968,17235
75,11935,16003
76,11107,16860
77,12512,16786
78,12456,16229
79,12116,15225
80,12467,16556
81,11935,15593
82,12539,16317
83,13093,16580
84,12153,15608
85,12482,16170
86,12467,16010
87,12456,16711
88,12116,15869
89,12215,15563
90,13266,15953
91,12424,16144
92,12175,16304
93,12456,15944
94,11935,15956
95,12512,16253
96,11968,16156
97,13266,16444
98,13201,16183
99,13185,15556
MIN,11095,15042
MAX,13266,17309
AVG,12505.58,16168.96
